ZIPCODE,incarerated_pop,pop,total_pop,MARS2,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N07100,A07100,N07220,A07220,N07180,A07180,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N09600,A09600,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902,inc_rate
20601,74,24156,24230,4108,23650,8073,758051,10447,636302,4848,3870,1453,2166,1243,1478,1727,5787,34,853,1602,651,7593,2787,76168,734,5486,1050,11937,23,283,6601,177718,6068,37755,309,262,5581,18896,6575,58408,5438,72953,5617,23516,9771,470435,4398,5779,2245,2733,956,605,968,899,1482,2919,1271,2489,1326,1661,378,1104,8796,74681,9250,77208,2094,5594,9386,27730,306
20602,92,24955,25047,3242,23265,8402,639590,10621,562336,4038,2251,952,850,807,492,1601,822,0,515,814,496,4876,2221,47593,791,5866,773,8170,0,0,6039,143880,5530,29106,273,266,4904,13809,6009,44521,4885,57670,5060,19473,9635,382440,4746,6434,2553,3079,1131,732,929,848,1987,4314,1787,3900,1751,2100,194,488,8371,55378,8829,57255,1765,4026,9703,29669,369
20603,41,28967,29008,4785,27659,10243,959395,12107,845618,5610,3277,1800,2077,1543,1335,2009,3965,0,1099,890,658,7644,3046,80132,770,6098,723,8001,33,371,7870,231526,7272,49153,327,424,6654,24500,7839,75932,6669,98216,6794,31481,11294,602077,5554,7598,2893,3611,1448,937,1085,1012,1368,2772,1204,2404,1290,1623,597,1436,10211,97565,10671,100445,2364,6973,10544,34162,142
20606,1,431,432,74,300,78,9375,116,6848,80,169,24,44,23,35,32,367,0,0,0,0,0,42,1281,0,0,25,304,0,0,70,1787,66,423,0,0,64,281,70,723,54,683,54,176,129,5991,55,72,29,35,0,0,0,0,21,38,0,0,0,0,0,0,119,940,128,1010,31,112,116,299,232
20607,16,9802,9818,1939,10184,3300,411954,4472,344650,2316,1933,747,1904,630,1396,1060,1740,0,483,2058,309,4124,1312,42887,315,2589,455,5767,0,0,3317,114838,3062,23077,130,98,2833,14620,3306,38741,2778,46968,2956,16867,4338,254197,1806,2351,761,884,489,312,415,460,442,845,373,714,386,499,381,1139,4010,44181,4202,45826,1119,3751,3848,13004,163
20608,3,919,922,161,779,213,26895,352,19194,184,363,58,175,48,115,63,83,0,41,1473,24,293,106,3029,26,180,53,564,0,0,213,6152,198,1310,0,0,185,758,213,2087,163,2272,177,831,349,16911,142,163,72,86,0,0,25,21,48,80,42,72,38,37,0,0,313,2718,324,2821,68,306,334,954,326
20609,1,1120,1121,236,995,257,33827,421,23626,258,476,83,310,74,184,86,738,29,67,803,57,1673,139,4123,45,335,98,1176,0,0,241,6500,218,1598,0,0,220,772,241,2452,204,2635,199,572,439,22044,166,179,83,96,20,14,33,33,60,112,53,98,46,60,0,0,399,3755,421,3949,109,488,402,1295,89
20611,5,1078,1083,235,1076,340,35928,467,29167,269,305,96,136,87,93,70,655,0,45,34,40,579,131,3743,34,239,60,726,0,0,279,7064,259,1811,0,0,251,897,278,2800,237,2863,246,680,440,23599,181,219,83,104,30,19,40,29,62,126,55,116,42,53,23,90,412,3901,424,4033,100,268,421,1126,464
20613,19,11860,11879,2255,12679,4139,448973,5556,370851,2690,2755,775,1410,666,789,1165,2918,109,481,2205,405,5316,1656,46893,398,3375,687,7797,0,0,3807,118900,3494,23085,174,145,3147,15240,3789,39453,3055,47749,3331,16923,5485,271083,2289,2932,1120,1326,597,381,457,432,654,1311,551,1130,556,680,336,886,5017,44165,5241,45700,1261,3872,5001,16356,160
20615,2,405,407,84,370,95,13959,151,10417,105,213,47,178,46,115,44,247,0,35,352,22,146,54,1582,0,0,37,475,0,0,111,3175,96,703,0,0,100,524,111,1248,84,1298,96,261,161,9018,65,77,24,23,0,0,20,32,0,0,0,0,0,0,0,0,144,1597,155,1658,41,110,148,395,494
20616,19,5857,5876,911,5834,2074,176017,2502,149972,1070,808,245,343,200,237,448,464,0,139,533,138,1612,674,17260,184,1477,231,2320,0,0,1609,43369,1489,8616,57,50,1371,4963,1600,13962,1327,17304,1371,6102,2432,104952,1085,1421,607,720,257,173,203,153,414,851,374,727,351,424,88,199,2160,15958,2282,16508,500,1450,2328,7269,324
20617,6,781,787,220,916,206,39412,385,26138,295,865,138,458,128,359,69,637,21,77,258,54,571,164,6025,22,176,105,1188,0,0,295,8271,262,2290,0,0,258,1169,289,3508,212,2765,263,865,423,26695,160,199,56,78,0,0,47,66,40,70,32,59,23,20,29,176,406,4952,420,5105,111,405,377,1125,768
20619,12,10503,10515,2180,10753,3541,390251,4760,323090,2854,3058,1301,2652,1174,1723,583,4739,0,758,2720,363,4028,1244,36494,214,1540,497,5932,24,276,2715,65531,2452,18786,171,190,2378,7002,2710,26377,2224,25543,2165,6881,4630,269952,2125,2682,1115,1565,332,200,330,286,472,954,417,837,399,498,195,658,4320,46002,4459,47009,936,2675,4262,14074,114
20620,4,1443,1447,273,1378,453,47322,601,39712,325,325,129,104,112,61,96,584,0,62,667,42,496,158,3645,50,389,56,636,0,0,324,8137,295,2350,0,0,300,867,322,3272,285,3321,264,841,584,32103,249,317,132,169,42,25,53,51,88,183,74,164,63,80,26,113,545,5504,569,5655,124,380,541,1651,277
20621,3,1373,1376,299,1363,395,42558,570,30902,326,387,103,237,94,156,120,870,40,72,2841,54,518,179,5103,52,349,92,1022,0,0,358,8121,327,1958,23,13,321,983,357,2984,286,2994,300,861,577,27527,221,266,111,141,28,17,57,46,84,164,67,139,64,80,0,0,527,4098,558,4333,122,554,556,1499,218
20622,11,4900,4911,996,4485,1422,147161,1807,110527,1083,1715,401,688,340,366,344,2975,80,257,2558,172,2096,535,15756,152,1119,323,3532,0,0,1147,31450,1046,7351,74,53,1036,4009,1144,11617,950,12748,967,3166,1803,94077,769,949,379,475,120,71,162,179,205,370,180,317,140,156,74,297,1655,15480,1714,16144,414,1614,1691,5049,224
